TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
201201010030,-0.162624,1.528964,0.090505,23.564980,-2.971811,2.239405,0.376645
201201010100,0.176643,1.448573,0.044444,23.074830,-1.995915,-1.313055,-0.586599
201201010130,0.085001,1.427213,0.021968,22.908530,-1.919538,-1.122817,0.040425
201201010200,0.032769,1.398844,0.040264,22.682670,-2.449128,-0.778143,0.130552
201201010230,-0.029924,1.335199,0.038489,22.211170,-2.754711,-0.207856,0.620483
201201010300,0.244764,1.194437,0.109994,21.313450,-3.191572,-5.705908,1.693145
201201010330,0.787348,1.126006,0.118010,21.007550,-1.699159,-5.820656,1.276791
201201010400,0.197123,1.032757,0.036127,20.826680,-2.019218,-2.201063,0.633652
201201010430,0.356803,1.072876,0.054414,20.590310,-1.855239,-2.933319,0.411079
201201010500,-0.101134,1.010326,0.071386,20.184460,-1.324580,-0.335337,-1.779514
201201010530,0.295779,0.915897,0.035565,19.743130,15.716250,-1.228439,0.410361
201201010600,0.539142,0.880110,0.067615,19.788930,79.036710,-2.108240,-0.095296
201201010630,-0.498845,0.933211,0.094604,20.555440,168.377700,5.035482,3.025177
201201010700,-2.677644,1.167345,0.136260,22.162670,270.488600,39.319933,37.360430
201201010730,-5.240049,1.329412,0.176995,23.310410,379.325800,99.543703,71.749457
201201010800,0.724493,1.553632,0.306622,24.489170,488.799100,73.231979,62.639549
201201010830,-9999.000000,2.048937,0.328371,26.906930,592.956200,308.104340,80.279821
201201010900,3.590969,2.527435,0.485801,28.425430,687.999300,89.412786,238.389576
201201010930,-7.536909,2.838252,0.574937,29.373850,780.558700,224.744052,172.454957
201201011000,-5.448776,3.107231,0.896546,30.375050,860.577700,460.934949,322.306864
201201011030,-2.665536,3.242795,0.819385,30.672380,929.842400,313.271310,144.654294
201201011100,-3.179629,3.468167,0.920022,31.413470,981.585800,394.074533,139.987501
201201011130,1.768590,3.744727,1.031542,32.323230,1019.376000,523.193122,205.333595
201201011200,-0.053003,3.891426,0.762898,32.821010,1041.178000,388.677112,42.273971
201201011230,-0.681721,4.033433,0.784706,33.327560,1053.182000,655.021799,82.817665
201201011300,-0.635444,4.116504,0.654946,33.567440,1043.062000,396.671307,29.939353
201201011330,-1.329978,4.372414,0.821238,34.356250,1038.337000,409.030483,159.448019
201201011400,2.002208,4.561476,0.842624,34.874130,1011.854000,614.092575,59.000276
201201011430,2.642655,4.627587,0.897775,35.034110,980.712900,480.948225,31.493493
201201011500,0.556616,4.669230,0.495143,35.169110,755.949300,285.174216,48.498390
201201011530,3.408228,4.693382,0.805150,35.201900,601.305900,322.271114,63.166888
201201011600,0.547459,4.817641,0.358487,35.555990,512.591200,183.800701,40.038564
201201011630,1.537836,4.839274,0.480993,35.545680,342.292300,76.137154,31.419613
201201011700,5.473789,5.044166,0.678998,36.161680,561.143000,333.226508,93.895833
201201011730,3.642673,5.129311,0.639419,36.407310,438.690900,222.843333,49.204246
201201011800,2.428385,4.989856,0.540761,36.009010,232.906200,86.217153,23.831423
201201011830,1.727924,4.878742,0.321678,35.683140,201.070700,29.066213,17.438992
201201011900,2.364454,4.788774,0.456124,35.458990,106.699500,16.159845,15.397596
201201011930,2.423178,4.524093,0.367201,34.660660,32.201950,-20.564722,16.040516
