TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
201301010030,0.441867,0.868839,0.179401,18.496730,-4.105004,-16.987318,1.174018
201301010100,0.420441,0.819118,0.158758,18.122880,-3.553055,-27.808576,1.359985
201301010130,0.356368,0.754168,0.142908,17.606650,-3.730614,-13.112962,3.027299
201301010200,0.428671,0.724860,0.157433,17.345130,-3.491131,-11.446513,1.753071
201301010230,0.861838,0.662852,0.201510,16.864050,-3.557899,-19.838121,0.119935
201301010300,0.700609,0.601627,0.216714,16.486840,-3.487710,-18.209991,-0.673434
201301010330,0.869310,0.579206,0.155834,16.381270,-3.014737,-15.384349,-0.697917
201301010400,0.760742,0.563360,0.140606,16.222080,-3.209472,-8.947704,-0.962191
201301010430,1.291980,0.531475,0.144885,15.845670,-2.921463,-15.956801,-1.968673
201301010500,0.377215,0.555352,0.081498,15.998730,-2.257566,-4.219614,-0.206930
201301010530,0.082390,0.561026,0.029683,15.927740,4.559123,-2.479623,-0.345482
201301010600,1.534041,0.525694,0.157235,15.591310,76.623560,-17.016046,-1.023800
201301010630,1.705970,0.586919,0.265396,16.176460,187.285400,-4.196615,11.207744
201301010700,4.677790,0.765086,0.270476,17.846490,285.182000,-22.870576,-5.391774
201301010730,-3.952465,0.983453,0.326006,19.637390,395.205400,178.464224,66.775140
201301010800,-2.797080,1.304812,0.268604,21.224290,506.998700,120.351354,113.908290
201301010830,-4.902091,1.720571,0.457095,22.776020,610.676000,244.023242,136.609618
201301010900,-4.580637,2.132562,0.576480,24.267250,720.700300,289.118933,197.463662
201301010930,-7.482730,2.338253,0.724324,25.189580,811.570100,311.233949,272.641815
201301011000,-6.913926,2.667023,0.725460,26.230640,891.677500,341.922203,152.715506
201301011030,-6.128830,2.911723,0.757245,27.293640,951.693400,332.875770,195.380313
201301011100,-6.781574,3.061962,1.015336,27.978770,1001.255000,495.562964,85.260888
201301011130,-4.224329,3.087191,0.660607,28.344360,1043.350000,358.351931,84.467489
201301011200,-3.383453,3.301330,0.902576,29.261730,1073.486000,571.854206,84.868534
201301011230,-2.612427,3.418662,0.506243,29.659820,1065.407000,247.885200,29.828405
201301011300,-3.738533,3.721361,0.874824,30.889600,1082.667000,438.543368,53.805260
201301011330,-4.655282,3.810205,1.214796,31.258820,1064.900000,637.907349,119.915816
201301011400,-3.600351,3.901730,1.098185,31.522110,1012.256000,523.260216,80.752589
201301011430,-2.408103,3.968885,1.081838,31.780720,932.112700,402.509937,83.390233
201301011500,-3.367201,4.111209,1.108557,32.221420,895.813400,475.656466,70.938613
201301011530,-1.726876,4.196950,1.059958,32.492180,822.727200,406.120492,43.319215
201301011600,-1.542248,4.208617,0.892259,32.511010,732.363200,256.198722,58.629085
201301011630,-0.725479,4.342388,0.987568,33.019280,657.735800,272.200861,12.676163
201301011700,-9999.000000,4.287198,1.003129,33.024120,566.566600,-9999.000000,-9999.000000
201301011730,-0.991518,3.943287,1.232595,32.266410,478.174200,365.760066,-20.645928
201301011800,-0.547473,3.665322,1.377867,31.358130,355.708100,154.675461,35.424638
201301011830,-9999.000000,3.356715,1.214895,30.286940,251.910000,-9999.000000,-9999.000000
201301011900,1.801747,2.400904,1.164640,27.009620,115.627400,103.326413,-11.103378
201301011930,2.608347,1.947844,1.052660,25.131150,30.094860,-4.951957,7.089364
201301012000,2.568717,1.560528,0.962702,23.474660,2.428549,-24.547353,3.385474
201301012030,-9999.000000,1.226226,1.050998,21.903570,-4.123327,-9999.000000,-9999.000000
201301012100,3.888218,0.948640,1.064349,20.240620,-3.971775,27.728790,-2.332753
201301012130,3.723519,0.858429,1.000694,19.558710,-3.655004,17.185340,5.270783
201301012200,2.523192,0.745793,0.971911,18.814080,-3.881814,-6.530316,-15.285821
201301012230,1.167010,0.659873,0.820599,18.243560,-3.610128,-19.307112,-12.520475
201301012300,2.155194,0.628900,0.961793,17.832280,-3.766393,-25.387063,-11.057610
201301012330,0.699176,0.621976,0.917256,17.269830,-3.610583,-6.721247,26.681942
201301020000,1.611960,0.642610,0.979217,16.981320,-3.803924,-34.014872,10.974385
201301020030,2.331335,0.659764,0.945914,16.812770,-3.846819,-57.867769,-23.870277
201301020100,1.451174,0.638064,0.629751,16.481630,-3.954033,-42.458131,0.574540
201301020130,0.519270,0.597627,0.795668,16.183610,-3.782395,-47.080963,3.871960
201301020200,0.893144,0.549990,0.793952,15.873790,-4.014153,-41.767812,-4.696077
201301020230,2.306705,0.494941,0.754435,15.512180,-4.045788,-41.284039,-6.585842
201301020300,2.347284,0.444725,0.640148,15.267550,-3.742290,-27.105400,-7.210303
201301020330,2.121467,0.407508,0.735558,15.070380,-3.780957,-44.439598,-6.164264
201301020400,1.893044,0.411047,0.836808,14.912110,-3.775542,-40.341604,-0.807264
201301020430,1.404500,0.423057,0.832715,14.721820,-3.929924,-41.286435,-2.062225
201301020500,1.111587,0.400102,0.894936,14.330780,-3.127479,-47.107276,-1.730394
201301020530,0.877780,0.387673,0.932195,14.020750,10.786850,-38.754278,2.965936
201301020600,-0.177393,0.405132,0.884755,13.863070,76.167920,-9.888507,13.551663
201301020630,-4.122573,0.525700,1.076725,14.215630,197.231200,44.736225,80.531110
201301020700,-3.560702,0.622641,0.954008,14.616780,291.075900,102.681132,37.860113
201301020730,-3.835670,0.721889,1.081601,15.275340,403.459300,195.358668,68.345507
201301020800,-6.290687,0.810178,1.074161,15.995940,493.069500,267.149215,86.315304
201301020830,-7.362809,0.860199,1.129814,16.439450,609.079800,342.234070,86.856614
201301020900,-5.043872,0.909501,0.775410,16.811860,686.757000,236.710490,54.275769
201301020930,-8.332986,1.072089,1.078709,17.906040,800.677700,494.075539,148.000217
201301021000,-7.149866,1.239646,1.021116,18.798220,881.892600,410.041250,97.993285
201301021030,-7.231694,1.272702,1.012274,19.214570,915.140400,496.662427,155.528835
201301021100,-6.864753,1.367548,1.063189,19.856750,1013.959000,424.430152,87.840519
201301021130,-6.438703,1.482064,1.064624,20.477540,1065.454000,464.960170,96.049610
201301021200,-7.689032,1.678305,1.163536,21.387770,1089.691000,553.213596,89.322238
201301021230,-6.808255,1.819098,1.142206,22.150230,1100.558000,528.231291,99.869909
201301021300,-7.435780,1.942888,1.187491,22.941720,1095.130000,633.795033,131.761833
201301021330,-6.414139,2.077668,1.009234,23.576130,1074.957000,654.592133,110.187420
201301021400,-5.704755,2.178074,1.238045,23.998830,1038.154000,535.286640,61.589700
201301021430,-5.181269,2.242456,1.140414,24.359730,988.052300,533.049508,34.475114
201301021500,-5.009553,2.295475,1.096236,24.722280,921.957000,454.762548,87.941149
201301021530,-4.992472,2.343836,1.054689,24.953250,844.677600,428.169633,98.642861
201301021600,-5.336413,2.391748,1.194088,25.178400,754.828500,494.607989,113.158370
201301021630,-4.275078,2.413650,1.102357,25.161330,657.837600,354.014133,88.028178
201301021700,-2.221921,2.467531,0.907484,25.359990,550.469700,264.902882,56.387106
201301021730,-2.128534,2.454137,0.929998,25.168090,440.520300,167.013887,40.904472
201301021800,-1.591151,2.422972,1.083732,25.003160,329.473700,171.751048,67.347339
201301021830,0.062492,2.399387,0.965493,24.649390,221.317300,98.759972,10.158023
201301021900,0.261759,2.210578,1.061842,23.846010,122.876900,35.822208,56.626350
201301021930,0.249422,2.036409,0.627430,23.088420,41.335940,11.581284,15.382358
201301022000,2.059479,1.829879,0.739987,21.938430,1.306132,-37.977346,16.893119
201301022030,-9999.000000,1.558900,0.836890,20.852230,-4.117321,-9999.000000,-9999.000000
201301022100,3.062766,1.370226,0.784216,20.078620,-3.910592,-40.056557,7.459205
201301022130,2.545676,1.256268,0.669826,19.535470,-3.708224,-27.708277,3.256823
201301022200,2.601892,1.201546,0.612625,19.125000,-3.594911,-27.920353,5.463615
201301022230,1.690295,1.168027,0.735479,18.765640,-3.323901,-16.192877,27.451118
201301022300,2.852256,1.237957,0.834166,18.669710,-3.253422,-46.752472,58.742635
201301022330,2.845581,1.220927,0.905197,18.441080,-3.408865,-32.531246,-0.837967
201301030000,1.487735,1.111805,0.749107,17.871900,-3.464844,-16.958050,10.040154
201301030030,1.487280,1.051011,0.709846,17.392600,-3.312201,-36.217034,11.105739
201301030100,1.265508,1.017708,0.550299,17.080860,-3.195412,-34.309150,8.927143
201301030130,1.245142,0.967156,0.343750,16.702140,-3.252039,-22.247095,10.435208
201301030200,1.740717,0.895134,0.413948,16.285940,-3.005821,-33.522822,5.880432
201301030230,1.163481,0.851548,0.285123,15.983170,-2.940881,-20.076623,3.357734
201301030300,1.668161,0.818982,0.325620,15.725500,-2.705074,-26.866530,3.910044
201301030330,1.587736,0.816353,0.357582,15.651020,-2.539325,-25.708751,6.009970
201301030400,0.815355,0.801301,0.229638,15.471800,-2.608736,-18.346873,9.144263
201301030430,0.130784,0.811899,0.075994,15.519310,-2.005305,-3.395041,0.275332
201301030500,0.329968,0.840226,0.124715,15.612600,-1.620909,-11.116748,3.406290
201301030530,0.303603,0.881424,0.081945,15.838860,13.062150,-2.576142,-0.798294
201301030600,-0.183467,0.929230,0.111520,16.201830,74.111820,-3.121203,4.716557
